Type;Status;Part number;Datasheet;Max current;Supply voltage;Supply current;Ambient temperature;Output type;Factory sensitivity;Programmable sensitivity;OCD;Package;Bandwidth;Voltage isolation;AEC-Q100;ASIL;Product page;Product Specific HW;Hover text for Product specfic hardware; Product Specific Hardware weblink;Bridge to GUI HW;Hover text for USB bridge;Weblink to Bridge hardware to GUI;Production HW; weblink
CONVENTIONAL HALL;Production;MLX91211LUA-ABA-500;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;18.8;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABA-510;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;25;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABA-520;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;31.25;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABA-530;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;50;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABA-540;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;100;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABT-500;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;18.8;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABT-510;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;25;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABT-520;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;31.25;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABT-530;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;50;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
CONVENTIONAL HALL;Production;MLX91211LUA-ABT-540;https://media.melexis.com/-/media/files/documents/datasheets/mlx91211-datasheet-melexis.pdf;2000;5;5;-40 to 150;Analog Ratiometric;100;N/A;No;TO92-3L;40;Design dependent;Grade 0;QM;https://melexis.com/MLX91211;DVK-conventional-Hall;Includes compatible Fe-cores and busbar examples;https://www.melexis.com/en/product/DVKConventionalHallCore/DVK-conventional-hall-core;PTC04 + DBHall-05;;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04;PTC04 + DBHall-05;https://www.melexis.com/en/tech-info/programming-and-software-tools/ptc-04
